Nome,Link,Preço
Fone De Ouvido Headset Gamer Led Rgb Pc Computador Videogame,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=zfpI3W8YYw7su%2BNsBZR0MW0xjAys8jhjA5ih4JykO15TSSgs6No6hVQHHGhh%2Frp6cilsUJZtMgo8KT89Mjq9OcD6yr0T1QA8VErFXfeZGDw7s1%2BL3nBDR%2BqVqDS6WcBytiYE2xvOKZ8O9zAMxskJA8dUsGwXJB0JE9c6a%2FTeOe8ICRm6XGkJ%2F9zT6rqV%2BLRPMLfcW4dPqXR82JthsEYqwpKh07kuKVuzsEUxy6Mqgvw0mOQZOJaYTDXY0nPNKKxxdkOKQizvI4cL0T2aMfybubihA1LeK7mq3pTKeInnMefuVc%2FLGM4LiNTYDsPtmVP92k9qRjBoem5ydH2aRZ3XkKcekf8CppJMsDJg0wWagTQnnNUsUTyUMr3SeIDeGhpe52y6wwpev1CTihDMUkjNzwnrGW6BJEZhegAsowkwMewCkibebRoHwSa0pMG2YDnEWIKQMCa%2B9w7OnPvxkfoAcyVKxIL4SbXCoulOuByUaDAZgDHUbBKZg1F9Y%2FgAeD1kZsNZe1KL7m6HFm47GpTiJS3mDgOC5DQGIPXwOJFQSTntitZompQnerg1%2FO%2FFI4gRj4R9YzQ%2FzF29pjUAYlj39wgpEwJqSP5w3kxR1Mm3DzGCE8vI1EbV%2Fc2%2BgRD972hlJCA2z6GPDQOSvf%2FXuiXvPcHTBmnhdlWMJhH%2BVOrOx9YcrkaO5HxqhW6g5G2YK3%2BguUXqVMvkTULdMSAvpRRYtZk8r%2BWsUqXdA%2B%2FbFeX4Ug2IT1uSARckdHqBkQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fdiscard-bid-lt-min%2B45362%2Cmclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmax-bid-item-factor%2B23927&rb=x,"R$52,46"
Fone De Ouvido Gamer Headset Gamer Pc Celular Ps4 Ps5 Xbox,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=CM6L7LdyMl7OIvqofjAk4JezASL50uNIeGalyIVXQ0X2FOR9GgkXoqxQvddz58ZXPMxnFwYt1cG%2BNPrUF2bu7CxFklO6d3va7Bv0%2BGNfn7P41yfbp7caFkdDy%2FOVNSTMLJQWY8aAUtTKU0KnmPRtuLiL9m5gMcqs9c2KpIPCO9JUd3uw4n5Kls1CaojUiPk2Im8eI%2BK95rH2VxYdoUrjHaMSrGuGR0NBAirOBNW6ac0YzEM081xLCgYlVTnSD6nmSrWle3rWe8dk54JiCgsJpFBrZTz8K7vwUXrb6yeVq5GZsUTpGIQWYg%2BRb5YXahtTdSoG2fz1j65ymlVhRBzUvIbkEjjzUTjbJ%2BzSem1IL7yvfbSFdQYqE13kMO8j2ghG2JZD1Wr7yVWt6vdkvZc0TjeNb8slKa5G8I6gCzgFAAazzxuYpbUB7v35JsdBIVIRsvCKfdoGBmPJI%2Fv60cZggvA6On2b4JXSepw%2B9H0rTFw719Mz8NwqHZd6fvbwdrM7fBE%2FFa%2FOgFFUi522LpAWhrO9q9iPiJMNnQfgOPqy5d1C%2F09PBCI8gM4LyOtNZhEJVp%2Bpftrxfc3f35FERfsvfjKnaBhVC8Ku7HTGUxOi7qBAVmtHI%2F0fhy3BICsI%2BDUkCz8uECpp%2FzgViHTm3VxhXTexgcbUeyUtvooFbdxrRKtHkWiMSz3iDsbmiyMG7g%2FOT8KXSNIeC2uhUGwNg%2FMZ7TGYGO1cfVwsd%2Fol3RCvqYN8fWRXSjsdmcI6WQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fdiscard-bid-lt-min%2B45362%2Cmclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmax-bid-item-factor%2B23927&rb=x,"R$57,59"
Headset Gamer Havit Gamenote H2002y Mic Removível Preto,https://www.mercadolivre.com.br/headset-gamer-havit-gamenote-h2002y-mic-removivel-preto/p/MLB27846566#searchVariation%3DMLB27846566%26position%3D9%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$189,99"
Headset Gamer Qcy H2 Bluetooth 5.3 Multiponto On-ear 3d 60h Cor Preto,https://www.mercadolivre.com.br/headset-gamer-qcy-h2-bluetooth-53-multiponto-on-ear-3d-60h-cor-preto/p/MLB25907254#searchVariation%3DMLB25907254%26position%3D29%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$179,10"
Fone de ouvido over-ear gamer sem fio Onikuma Gamer K1-B K1 camouflage yellow,https://www.mercadolivre.com.br/fone-de-ouvido-over-ear-gamer-sem-fio-onikuma-gamer-k1-b-k1-camouflage-yellow/p/MLB14705580#searchVariation%3DMLB14705580%26position%3D22%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$69,99"
Suporte De Mesa P/ Headset Headphone Fone Modelo Champions Cor Preto,https://www.mercadolivre.com.br/suporte-de-mesa-p-headset-headphone-fone-modelo-champions-cor-preto/p/MLB22643036#searchVariation%3DMLB22643036%26position%3D4%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$29,90"
Fone De Ouvido Gamer Headset Havit H2015d Pc/xbox/ps4/ps5,https://www.mercadolivre.com.br/fone-de-ouvido-gamer-headset-havit-h2015d-pcxboxps4ps5/p/MLB19693803#searchVariation%3DMLB19693803%26position%3D17%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$189,99"
Suporte De Mesa Para Fone De Ouvido Headfone Gamer2 Cor Preto,https://www.mercadolivre.com.br/suporte-de-mesa-para-fone-de-ouvido-headfone-gamer2-cor-preto/p/MLB22591810#searchVariation%3DMLB22591810%26position%3D14%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$39,00"
Headset Top Use Fp-350 Usb Com Cancelador De Ruído,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=LNKZ3RXl%2FsrfvqB%2BrWZCU%2B7%2FrLJ%2Bc94OU2r2%2BOrVodVZPaZCS%2BmOkz8yJ1SyrnN8PtNl%2BX7p9N%2B5dSBZaDa2zFreNkHtpthAy4sPTzum4qiPxVYtGe6umLgmHloMRXB%2BhF33s1pFoK9oKuvtepst2Ms4EXkgrX3S99c2%2FAcdhgazKljf19zRGwpPNh7DWSlbuJyUXngzoyYh2pUBgDhFzpSTCC7mq8NMafajptWTaSmGht5qWAtQfB1M7tLfzl4e%2Fm58IFaz%2FL2jNW6mqFrzOl4d0Dd40R0qVTNLlX090bcYw9uEp%2FG1GLiwASZvvBRQNKchXcR%2FSha6tfyv2NhbRhRocjlBcvccy0kMSWCYN1N6Z3wHyUSpFfC1SY%2Fp0IiiWLH5xyYZBeWZz7rqzW2PXaAl4euAmHn6Z7I4MVTH69uddWgPggQcO4mhDKIqqoAwbTqBH8AIIYh0Uj5W1y7cUIw9%2B0j9j0MYllQe17zE9nfrGtLU7SnV6n0g2PoT3u1BnxEGX8zasWY%2BaVfqK3eSGepibY%2FdJqCyS69O6MK5hV6hjtrvRn7FUxXSpPuQxWAEOpnSiL0tdMdhF5BQEI%2FC2SBQu%2B5BhSjbNSAyegAgurdsf5Lc50%2BE2e%2BKioGhrKxiIn7MF2ad%2FJy9JIFTVUfkQhqLe%2BcKRCDKNx7vCQ9lGSkbthPywRKEze51T55gS9niqiDE9YCVqlgLtw9rJWHJdC9Im4v7E9X5ZvjfwybTK%2F825A%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fdiscard-bid-lt-min%2B45362%2Cmclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmax-bid-item-factor%2B23927&rb=x,"R$195,00"
Headset Gamer Fone Ouvido Usb Com Microfone Ps5 Xbox Pc Nf-e,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=PnI8rlFdp76FnYgFpxzOYx1c4DfYeOoqn1QiMFUmfh7TGy9rnfCprDHBsiGy840SBDDxLLgDcKVklA30P3tODZCnXLIMUR2KB7YkyJI0uxaVvpIK4cVoWHaZ0hphf6RR%2FwpKJ0554moq0XdSYR1T2D05ECtZyeMy%2BlPpzJA2vrIKrNpgK9MmqPUjVNdbmO56ul4TIeNq6U%2BL68E5tadyuQ7OKf1Z2zJK4JpeBhixzfLPD8bU4mLf3k%2Bvd9ZPeOwGyXsbbiRxiims87L5aOzhXIwh%2BWdvIMR92%2BCZ811y%2BrA7vE7rpAMKD6IsyrxdalRhf%2BFlJq1gaGzjJ2ASXEd%2BdlKoxUE5W8VMO1Nr%2Fap%2F5mYpzbtYjrupMLijegxS9zxJOzopJfda1DCzYNdCNhfgZk9WW55JFYoRHj73O6TgA0jU5TkgV1hCQiiwtidcJ7QpHky89bTn4zxtrdxJuFmRp5lF2PQxjdaZKc6wqlyctJN8u3s0%2FQQtaK3DobvKF5o2FqbwlK5uCLteWnJUqaqEDGLIaNiWDDngvDSQexOchaYnfE%2FYUwWuBIG558edjoPgWFhHAVTRNk5kkL78VpdnbGYzYvZCNCIJgl0YOQon6SdlIbH6OQXhkGo38V7FrzYIbOyfd9C2YKpRE3jJPvSXQ3KavtiaY9Jvwo5vtXT7IKlouZEbvEkuPh3h9kV85uuwsQkfEdO2If36zo2HenDF8o5h%2B7c4q8Rz86Qsnr4pJdyDrbf6HT33D0npiyL1VAlR8pTLRrYgM4ogjpGQ8j82ble19AJc0FfNHijjw%2Be%2BnK37Pz5CgC1IamCOjG5yQV2rA2rct1oFlRYeZeLNTX%2Buflwi&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fdiscard-bid-lt-min%2B45362%2Cmclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmax-bid-item-factor%2B23927&rb=x,"R$189,90"
Headset Gamer Ps4 Celular Games Pc C/mudo Profissional,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=y4nsQNyAHmPeNzoBOgmPDmZHitSsxnx%2F5d5sSEpP22eq%2BVnjRy0P0s7X7QBOD3E34CTd%2FqrYV3EsrOWQgcxCxP4pLOg%2FW9RDljSZGod0Cpf%2Bal2pUN3UFqFlUvBhBGgcljMdmF0neD22Y9FVinfbBVyiMyaOIEF%2FcMukXH9P3ghYKMKAzLbAw4nVt8Gm4PxYmWQ0X50gtOVfCc29PzG9t2IRTY0y3N50taAlvH5Q61N2J8pH1nfDjXFBxOH4NrqJP8QfNBLPdnEiMh%2F70J8z51hm%2BwlNaugbE62wJYSMrXygxATRBhGpwO9tUAJTMULlWrTwqPIthY5SUKeAvBiStJVFRhJvajewmhtlRq2Z0UxdBwR2M3FV6dn8fXOM4tV2etx33Axg2O73EA%2FPC7XpoNHBrI5eN06EQanDE38wq6mVlJSNrCure%2F9naK18Ph5%2FMCXIwyeoXLO9x3Jybfpkag4Ah1sN7Q7mihMWOTtpXAwe%2BmDrcEwTccvVq2sjIQk28%2F2qtlWp4untmzk%2B2BtXKnZxtPCdwIdK8jwQGzr5Q9nH6Z%2B%2FZ5KmV9kAY0ETgA%2FiMej8MKl9cuFvKUr02KlA6IwgbUE9c%2B22eJDlBwRFaY387aiv3AglJpd8Wb8gDBimp5wawehZGUrLRvC5kPQnGvdiiwgKPgKURpKJLE538SnI5XIahz2ugBlxcLuyZ%2B9mJl7q9b6VmzSdGkMMcB2CRudf2RYSbnfRzOfXZHhEOj73ZfOSVg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fdiscard-bid-lt-min%2B45362%2Cmclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmax-bid-item-factor%2B23927&rb=x,"R$65,72"
Headset Fone Para Pc Telemarketing Callcenter Com Mute Usb Cor Preto,https://www.mercadolivre.com.br/headset-fone-para-pc-telemarketing-callcenter-com-mute-usb-cor-preto/p/MLB20203862#searchVariation%3DMLB20203862%26position%3D38%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$99,80"
Espumas Almofadas Compatível Bose Qc25 Qc35 Qc15 Qc45 Ae2 Cor Preto / LR Preto,https://www.mercadolivre.com.br/espumas-almofadas-compativel-bose-qc25-qc35-qc15-qc45-ae2-cor-preto-lr-preto/p/MLB24253820#searchVariation%3DMLB24253820%26position%3D34%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$44,34"
Headset Fifine Ampligame H6 Rgb 7.1 Surround Gamer Cor Preto,https://www.mercadolivre.com.br/headset-fifine-ampligame-h6-rgb-71-surround-gamer-cor-preto/p/MLB20326640#searchVariation%3DMLB20326640%26position%3D16%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$285,00"
Headset Gamer Redragon Minos Overear 7.1 Surround Usb Branco Luz Vermelho,https://www.mercadolivre.com.br/headset-gamer-redragon-minos-overear-71-surround-usb-branco-luz-vermelho/p/MLB19591937#searchVariation%3DMLB19591937%26position%3D15%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$128,00"
Headset Gamer Com Fio E Microfone Quantum 300 Preto Jbl Cor da luz n/a,https://www.mercadolivre.com.br/headset-gamer-com-fio-e-microfone-quantum-300-preto-jbl-cor-da-luz-na/p/MLB18607184#searchVariation%3DMLB18607184%26position%3D35%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$438,00"
"HAVIT Fone de Ouvido Headset Gamer FUXI-H3 Quad-Mode (com fio e sem fio, Wireless 2,4GHz, Bluetooth, Cabo USB-C, Cabo Auxiliar 3.5mm). Surround, Baixa Latência - Branco",https://www.mercadolivre.com.br/havit-fone-de-ouvido-headset-gamer-fuxi-h3-quad-mode-com-fio-e-sem-fio-wireless-24ghz-bluetooth-cabo-usb-c-cabo-auxiliar-35mm-surround-baixa-latncia-branco/p/MLB29023671#searchVariation%3DMLB29023671%26position%3D13%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$208,05"
Headset Gamer Havit H2002d Edição Cores White Red Roxo Pink Cor Azul,https://www.mercadolivre.com.br/headset-gamer-havit-h2002d-edico-cores-white-red-roxo-pink-cor-azul/p/MLB26892220#searchVariation%3DMLB26892220%26position%3D33%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$199,99"
Headset Gamer Motospeed H11 Led Vermelho 3.5 Usb Driver 40mm Cor Preto,https://www.mercadolivre.com.br/headset-gamer-motospeed-h11-led-vermelho-35-usb-driver-40mm-cor-preto/p/MLB22334709#searchVariation%3DMLB22334709%26position%3D28%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$71,10"
"Hyperx Cloud 3, Diadema Gamer Dts®, PC, Ps5|4, Xbox X|S/One Color Preto/Preto",https://www.mercadolivre.com.br/hyperx-cloud-3-diadema-gamer-dts-pc-ps54-xbox-xsone-color-pretopreto/p/MLB27673837#searchVariation%3DMLB27673837%26position%3D31%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$486,90"
Headset Gamer Hp H320gs 7.1 Com Led - Preto E Azul,https://www.mercadolivre.com.br/headset-gamer-hp-h320gs-71-com-led-preto-e-azul/p/MLB19725205#searchVariation%3DMLB19725205%26position%3D37%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$199,90"
Fone de ouvido over-ear gamer Bright Headset office 0010,https://www.mercadolivre.com.br/fone-de-ouvido-over-ear-gamer-bright-headset-office-0010/p/MLB16158980#searchVariation%3DMLB16158980%26position%3D40%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$21,58"
Fone de ouvido on-ear gamer Redragon Gamer Ares H120 preto e vermelho,https://www.mercadolivre.com.br/fone-de-ouvido-on-ear-gamer-redragon-gamer-ares-h120-preto-e-vermelho/p/MLB16056056#searchVariation%3DMLB16056056%26position%3D26%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$77,90"
Headphone Gamer Havit H630bt ENC Bluetooth 5.3 On-ear 3d 55h Cor Preto,https://www.mercadolivre.com.br/headphone-gamer-havit-h630bt-enc-bluetooth-53-on-ear-3d-55h-cor-preto/p/MLB25967798#searchVariation%3DMLB25967798%26position%3D27%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$158,00"
Espumas Almofadas Compatível Bose Qc25 Qc35 Qc15 Qc45 Ae2 Cor Cinza,https://www.mercadolivre.com.br/espumas-almofadas-compativel-bose-qc25-qc35-qc15-qc45-ae2-cor-cinza/p/MLB24250839#searchVariation%3DMLB24250839%26position%3D32%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$44,34"
Kit 2 Suporte Headset Gamer Headphone Fone De Ouvido Parede Cor Preto,https://www.mercadolivre.com.br/kit-2-suporte-headset-gamer-headphone-fone-de-ouvido-parede-cor-preto/p/MLB23888331#searchVariation%3DMLB23888331%26position%3D39%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$29,00"
Headset Gamer Havit Gamenote H2002bg Usb Bt 2.4hz Preto Cor da luz RGB,https://www.mercadolivre.com.br/headset-gamer-havit-gamenote-h2002bg-usb-bt-24hz-preto-cor-da-luz-rgb/p/MLB27849333#searchVariation%3DMLB27849333%26position%3D24%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$290,00"
Headset Gamer Havit Gamenote H2008d Mic Removível Branco,https://www.mercadolivre.com.br/headset-gamer-havit-gamenote-h2008d-mic-removivel-branco/p/MLB38058371#searchVariation%3DMLB38058371%26position%3D30%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$219,00"
Fone Headset Gamer Profissional Mento Rgb H270-rgb Redragon Cor Preto ,https://www.mercadolivre.com.br/fone-headset-gamer-profissional-mento-rgb-h270-rgb-redragon-cor-preto/p/MLB19777755#searchVariation%3DMLB19777755%26position%3D36%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$166,00"
Headset C3 Tech com Microfone Ph-340bk Usb Stereo com Controle Cor Preto,https://www.mercadolivre.com.br/headset-c3-tech-com-microfone-ph-340bk-usb-stereo-com-controle-cor-preto/p/MLB21886122#searchVariation%3DMLB21886122%26position%3D41%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$78,99"
Headset Mono Usb Blackwire C3210 Usb-a Single Plantronics,https://www.mercadolivre.com.br/headset-mono-usb-blackwire-c3210-usb-a-single-plantronics/p/MLB21895603#searchVariation%3DMLB21895603%26position%3D25%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$220,00"
Headset Gamer Astro A10 P/ Xbox Preto - 939-002046,https://www.mercadolivre.com.br/headset-gamer-astro-a10-p-xbox-preto-939-002046/p/MLB26056853#searchVariation%3DMLB26056853%26position%3D50%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$411,00"
Fone De Ouvido Headset Gamer Rgb Titorion HE-001 HE001 Cor Preto,https://www.mercadolivre.com.br/fone-de-ouvido-headset-gamer-rgb-titorion-he-001-he001-cor-preto/p/MLB27001420#searchVariation%3DMLB27001420%26position%3D46%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$136,80"
Fone de Ouvido Gamer Fortrek Headset H2 Pro Over LED Azul Cor Preto para PC,https://www.mercadolivre.com.br/fone-de-ouvido-gamer-fortrek-headset-h2-pro-over-led-azul-cor-preto-para-pc/p/MLB14141807#searchVariation%3DMLB14141807%26position%3D55%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$96,18"
Headset Logitech H390 Usb Controle De Volume Mute Branco,https://www.mercadolivre.com.br/headset-logitech-h390-usb-controle-de-volume-mute-branco/p/MLB24235357#searchVariation%3DMLB24235357%26position%3D53%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$203,00"
Headset Gamer Mancer MCR-AUR-RGB01 Preto Aura Rainbow Drivers 50MM,https://www.mercadolivre.com.br/headset-gamer-mancer-mcr-aur-rgb01-preto-aura-rainbow-drivers-50mm/p/MLB26972008#searchVariation%3DMLB26972008%26position%3D48%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$141,00"
Fone de ouvido on-ear gamer Top Use HTU-300 preto com luz LED,https://www.mercadolivre.com.br/fone-de-ouvido-on-ear-gamer-top-use-htu-300-preto-com-luz-led/p/MLB8901704#searchVariation%3DMLB8901704%26position%3D47%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$159,90"
